epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
97,1853.61,0.97035,1.96816,0.74483,1.1656,0.70831,0.82756,0.84772,0.62025,0.70722,0.82874,0.84669,0.51792,1.04102,1.80843,0.74837,1.27531,0.000536081,0.000536081,0.000536081
98,1872.81,0.98107,2.03268,0.73944,1.17197,0.73143,0.79604,0.85288,0.63266,0.72911,0.79604,0.85238,0.5161,0.99246,1.77038,0.72597,1.23568,0.000528318,0.000528318,0.000528318
99,1891.76,0.97229,2.08363,0.73272,1.14912,0.68842,0.82272,0.84488,0.62003,0.68815,0.82796,0.84564,0.51571,1.02629,1.78459,0.74523,1.26814,0.000520548,0.000520548,0.000520548
100,1910.6,0.95454,2.02996,0.72622,1.14638,0.69279,0.85628,0.84646,0.62341,0.69326,0.8537,0.84542,0.51508,1.02256,1.8149,0.73413,1.26158,0.000512775,0.000512775,0.000512775
101,1929.37,0.95326,1.95064,0.71792,1.14269,0.71421,0.83017,0.84961,0.63445,0.71353,0.83391,0.85066,0.52556,0.98559,1.73037,0.72172,1.22396,0.000505,0.000505,0.000505
102,1948.67,0.96418,2.05628,0.72232,1.13671,0.68619,0.81497,0.84127,0.62473,0.68619,0.81497,0.84064,0.52551,0.98875,1.74114,0.73132,1.23613,0.000497225,0.000497225,0.000497225
103,1967.82,0.94186,1.95255,0.71401,1.1372,0.74302,0.80122,0.85292,0.63273,0.74302,0.80122,0.85248,0.51711,1.01363,1.76096,0.72715,1.2598,0.000489452,0.000489452,0.000489452
104,1986.56,0.95714,1.99912,0.72721,1.148,0.73382,0.80666,0.8457,0.62795,0.73461,0.80752,0.84737,0.52025,1.01477,1.76428,0.73145,1.25666,0.000481682,0.000481682,0.000481682
105,2005.94,0.9663,2.03046,0.73181,1.14316,0.73583,0.80303,0.85841,0.64081,0.73662,0.80389,0.85925,0.51887,0.99109,1.75287,0.71296,1.23459,0.000473919,0.000473919,0.000473919
106,2024.29,0.95733,1.94259,0.72527,1.14761,0.73484,0.80293,0.85885,0.63706,0.73891,0.79397,0.85926,0.52447,0.99505,1.81294,0.71498,1.26232,0.000466163,0.000466163,0.000466163
107,2043.34,0.94164,1.93236,0.70386,1.13583,0.72608,0.8167,0.85824,0.6364,0.72761,0.81842,0.85811,0.51414,0.99241,1.84036,0.72507,1.25576,0.000458416,0.000458416,0.000458416
108,2062.29,0.9515,1.98119,0.73612,1.1438,0.74057,0.78141,0.85727,0.63633,0.73991,0.78345,0.85789,0.52712,0.99232,1.70951,0.70442,1.23993,0.000450682,0.000450682,0.000450682
