epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
113,2159.42,0.74359,1.5364,0.54309,0.97558,0.75125,0.77797,0.86405,0.67576,0.74959,0.77625,0.86156,0.55539,0.83099,1.42694,0.69925,1.15785,0.000412246,0.000412246,0.000412246
114,2178.85,0.74451,1.54877,0.55006,0.96204,0.73196,0.85307,0.87977,0.70259,0.73196,0.85307,0.87856,0.56491,0.80328,1.42394,0.62428,1.13604,0.00040462,0.00040462,0.00040462
115,2197.66,0.71977,1.45197,0.5193,0.9781,0.71261,0.83391,0.87075,0.68123,0.71154,0.83215,0.86918,0.56234,0.81558,1.42316,0.63401,1.13713,0.000397019,0.000397019,0.000397019
116,2216.68,0.73926,1.58694,0.52807,0.96468,0.75825,0.81517,0.87981,0.69611,0.75665,0.81345,0.87734,0.57259,0.79722,1.39535,0.66789,1.12465,0.000389445,0.000389445,0.000389445
117,2235.71,0.73131,1.49438,0.53179,0.96731,0.75264,0.81842,0.88265,0.70304,0.76213,0.80237,0.88043,0.591,0.80258,1.3717,0.65628,1.14173,0.000381899,0.000381899,0.000381899
118,2255.27,0.74127,1.57956,0.54105,0.97913,0.78771,0.77916,0.87891,0.69423,0.78771,0.77916,0.87749,0.56919,0.80333,1.46182,0.66061,1.14659,0.000374383,0.000374383,0.000374383
119,2274.36,0.72009,1.50394,0.51523,0.96948,0.81861,0.75731,0.87974,0.69782,0.81968,0.75301,0.87873,0.56539,0.81093,1.44306,0.65141,1.13922,0.000366899,0.000366899,0.000366899
120,2293.31,0.72714,1.5606,0.52928,0.96256,0.77117,0.80637,0.88219,0.69391,0.77346,0.80379,0.881,0.56564,0.81515,1.45194,0.61473,1.13728,0.00035945,0.00035945,0.00035945
121,2312.33,0.72304,1.54419,0.51952,0.96136,0.72041,0.83597,0.87234,0.68546,0.72475,0.8339,0.87146,0.56434,0.80467,1.3906,0.62772,1.1337,0.000352037,0.000352037,0.000352037
122,2331.59,0.72654,1.55178,0.51379,0.96071,0.74537,0.80865,0.87049,0.68838,0.75371,0.7969,0.86896,0.56528,0.79963,1.38502,0.69161,1.13597,0.000344661,0.000344661,0.000344661
