filename,gsd,Model,TP,FP,FN,IoU,Pred_Area_m2,GT_Area_m2,Error_Area_m2,Pred_Diam_m,GT_Diam_m,Error_Diam_m
0.1m_sample_07.png,0.1m,YOLOv11l-seg,13,6,8,0.8803,1084.95,1200.732,-115.782,37.167,39.1,-1.933
0.1m_sample_07.png,0.1m,YOLOv8l-seg,12,8,9,0.8728,1115.11,1200.732,-85.622,37.68,39.1,-1.42
0.2m_01_20.png,0.2m,Hybrid-v11-SAM,46,19,23,0.6743,4088.52,6255.387,-2166.867,72.15,89.245,-17.094
0.2m_01_20.png,0.2m,Hybrid-v8-SAM,49,55,20,0.6794,6096.84,6255.387,-158.547,88.106,89.245,-1.138
0.2m_01_20.png,0.2m,Mask-RCNN,58,42,11,0.7888,9453.04,6255.387,3197.653,109.709,89.245,20.464
0.2m_01_20.png,0.2m,YOLOv11-ablation,45,36,24,0.7629,7062.36,6255.387,806.973,94.827,89.245,5.582
0.2m_01_20.png,0.2m,YOLOv11l-seg,34,5,35,0.7908,3346.88,6255.387,-2908.507,65.279,89.245,-23.965
0.2m_01_20.png,0.2m,YOLOv8l-seg,40,25,29,0.7736,5447.84,6255.387,-807.547,83.285,89.245,-5.96
0.2m_01_27.png,0.2m,Hybrid-v11-SAM,65,15,49,0.6932,4858.8,9730.685,-4871.885,78.654,111.308,-32.654
0.2m_01_27.png,0.2m,Hybrid-v8-SAM,87,35,27,0.6912,7291.88,9730.685,-2438.805,96.355,111.308,-14.953
0.2m_01_27.png,0.2m,Mask-RCNN,82,18,32,0.7747,9571.4,9730.685,-159.285,110.393,111.308,-0.915
0.2m_01_27.png,0.2m,YOLOv11-ablation,88,27,26,0.7376,9889.12,9730.685,158.435,112.211,111.308,0.903
0.2m_01_27.png,0.2m,YOLOv11l-seg,44,3,70,0.7742,4054.84,9730.685,-5675.845,71.853,111.308,-39.456
0.2m_01_27.png,0.2m,YOLOv8l-seg,69,18,45,0.7596,7283.36,9730.685,-2447.325,96.299,111.308,-15.009
0.2m_sample_01.png,0.2m,Hybrid-v11-SAM,56,20,31,0.727,4504.56,7086.568,-2582.008,75.732,94.989,-19.257
0.2m_sample_01.png,0.2m,Hybrid-v8-SAM,57,37,30,0.7187,5583.36,7086.568,-1503.208,84.315,94.989,-10.674
0.2m_sample_01.png,0.2m,Mask-RCNN,56,19,31,0.7943,6582.32,7086.568,-504.248,91.547,94.989,-3.442
0.2m_sample_01.png,0.2m,YOLOv11-ablation,41,17,46,0.7632,4917.96,7086.568,-2168.608,79.131,94.989,-15.858
0.2m_sample_01.png,0.2m,YOLOv11l-seg,39,8,48,0.8032,3663.4,7086.568,-3423.168,68.296,94.989,-26.693
0.2m_sample_01.png,0.2m,YOLOv8l-seg,39,18,48,0.7905,4547.8,7086.568,-2538.768,76.095,94.989,-18.894
0.2m_sample_07.png,0.2m,Hybrid-v11-SAM,45,10,36,0.6985,3232.04,6420.039,-3187.999,64.15,90.412,-26.262
0.2m_sample_07.png,0.2m,Hybrid-v8-SAM,54,32,27,0.7032,4715.68,6420.039,-1704.359,77.487,90.412,-12.925
0.2m_sample_07.png,0.2m,Mask-RCNN,41,13,40,0.783,4557.76,6420.039,-1862.279,76.178,90.412,-14.233
0.2m_sample_07.png,0.2m,YOLOv11-ablation,39,12,42,0.7704,4237.92,6420.039,-2182.119,73.457,90.412,-16.955
0.2m_sample_07.png,0.2m,YOLOv11l-seg,31,4,50,0.7912,2814.16,6420.039,-3605.879,59.859,90.412,-30.553
0.2m_sample_07.png,0.2m,YOLOv8l-seg,38,13,43,0.7878,3971.56,6420.039,-2448.479,71.111,90.412,-19.301
